id,source,lang-source,author,license,sme-reviewed,premium,lang-source-dict
73d98c7b-394e-4372-b89b-f292f17eea86,Aanhangig maken,nl-nl,Rechtspraak,CC0,True,False,"Het starten van een procedure bij de rechter; in een strafproces gebeurt dat door een dagvaarding of een oproep door de officier van justitie, in een civiel proces door een dagvaarding door de eisende partij aan de gedaagde partij of een verzoekschrift aan de rechter."
7cd82dd5-60f7-46ba-b72f-88ec7ec6a6a6,Aanhouden,nl-nl,Rechtspraak,CC0,True,False,"1. In het strafrecht: het feitelijk vasthouden van iemand die er van verdacht wordt een strafbaar feit te hebben begaan. 2. In een civiele of strafprocedure: het uitstel van de behandeling of de beslissing van de rechter. Aanleg De rechterlijke instantie waar de behandeling van een zaak plaatsvindt. De rechtbank is de eerste aanleg, het gerechtshof de tweede aanleg oftewel de hoger beroepsinstantie (of de Centrale Raad van Beroep, College van Beroep voor het bedrijfsleven of de Afdeling bestuur van de Raad van State)."
534db730-cd62-4e64-973a-0c829e94b267,Aanwijzing,nl-nl,Rechtspraak,CC0,True,False,1. Voorschrift hoe het Openbaar Ministerie zijn taak moet vervullen. Er is bijvoorbeeld een aanwijzing over de rol van een officier van justitie bij risicowedstrijden in het betaald voetbal. 2. Officieel bevel van de minister van Justitie aan het Openbaar Ministerie om een zaak op een bepaalde manier af te handelen.
4cdccfe3-9ff1-460a-a2dd-34c0f138704e,Aanzegging,nl-nl,Rechtspraak,CC0,True,False,"Bekendmaking door middel van het uitreiken van een gerechtelijk schrijven, bijvoorbeeld een dagvaarding of een kennisgeving."
2ee86daf-e0a9-4e7d-9ba8-6c342a11961b,Absolute competentie of bevoegdheid,nl-nl,Rechtspraak,CC0,True,False,Bij het uitbrengen van een dagvaarding of het indienen van een verzoekschrift spelen in het algemeen twee vragen een rol. Ten eerste moet altijd worden vastgesteld welke ‘soort’ rechter bevoegd is om een zaak te behandelen. In de meeste gevallen zal het dan gaan om vast te stellen of men bij de ‘gewone’ civiele rechter of bij de kantonrechter moet zijn. Dit is de vraag van de absolute competentie. Ten tweede moet men vaststellen in welk arrondissement de rechter dient te worden benaderd. This is de vraag van de relatieve competentie.
9f1ef287-fe87-436a-99ad-dae6ed106ad8,Administratieve afhandeling,nl-nl,Rechtspraak,CC0,True,False,Procedure om buiten het strafrecht lichte (verkeers ) overtredingen af te handelen.
076c97cd-ec65-4cc2-8839-59010f536663,Administratieve rechtspraak,nl-nl,Rechtspraak,CC0,True,False,Zie: Bestuursrecht.
753a1d1b-5116-4a88-b75b-1d0c25ac9130,Adolescentenstrafrecht,nl-nl,Rechtspraak,CC0,True,False,Het is de toepassing van jeugdstrafrecht op 18 tot 23 jarigen. Zie ook: Jeugdstrafrecht
03b8bfaf-b4bc-420b-b61d-93dee3bd0f48,Advocaat,nl-nl,Rechtspraak,CC0,True,False,Raadsman of raadsvrouw in juridische aangelegenheden. Een advocaat is lid van de Nederlandse Orde van Advocaten.
fbae4a72-7acf-41b0-a99d-637248f2eb85,Advocaat generaal (A G),nl-nl,Rechtspraak,CC0,True,False,1. Vertegenwoordiger van het Openbaar Ministerie OM) bij een gerechtshof. Zijn taak komt overeen met die van de officier van justitie bij de rechtbank. 2. Bij de Hoge Raad: adviseur van de Hoge Raad. Deze advocaat generaal werkt niet voor het Openbaar Ministerie.
